Key 0,Key 1,Key 2,Key 3,Key 4,Key,Done,en,de,it,ru,es,fr,pt,pl,cs,th,hu
Campaign,Custom,Cyclopean Foundations,Encounter,Archaic Evils,Campaign/Custom/Cyclopean Foundations/Encounter/Archaic Evils,TRUE,Archaic Evils,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Architects of Chaos,Campaign/Custom/Cyclopean Foundations/Encounter/Architects of Chaos,TRUE,Architects of Chaos,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Awakened Madness,Campaign/Custom/Cyclopean Foundations/Encounter/Awakened Madness,TRUE,Awakened Madness,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Countermeasures,Campaign/Custom/Cyclopean Foundations/Encounter/Countermeasures,TRUE,Countermeasures,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Cult of Cthulhu,Campaign/Custom/Cyclopean Foundations/Encounter/Cult of Cthulhu,TRUE,Cult of Cthulhu,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Deep Dreams,Campaign/Custom/Cyclopean Foundations/Encounter/Deep Dreams,TRUE,Deep Dreams,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Grand Compass,Campaign/Custom/Cyclopean Foundations/Encounter/Grand Compass,TRUE,Grand Compass,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Shadowy Agents,Campaign/Custom/Cyclopean Foundations/Encounter/Shadowy Agents,TRUE,Shadowy Agents,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Spawn of R'lyeh,Campaign/Custom/Cyclopean Foundations/Encounter/Spawn of R'lyeh,TRUE,Spawn of R'lyeh,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Storm and Sea,Campaign/Custom/Cyclopean Foundations/Encounter/Storm and Sea,TRUE,Storm and Sea,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Unfriendly Ports,Campaign/Custom/Cyclopean Foundations/Encounter/Unfriendly Ports,TRUE,Unfriendly Ports,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Encounter,Unnatural Stone,Campaign/Custom/Cyclopean Foundations/Encounter/Unnatural Stone,TRUE,Unnatural Stone,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Across Dreadful Waters,Campaign/Custom/Cyclopean Foundations/Scenario/Across Dreadful Waters,TRUE,Across Dreadful Waters,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Blood From Stones,Campaign/Custom/Cyclopean Foundations/Scenario/Blood From Stones,TRUE,Blood From Stones,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Crumbling Masonry,Campaign/Custom/Cyclopean Foundations/Scenario/Crumbling Masonry,TRUE,Crumbling Masonry,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Going Twice,Campaign/Custom/Cyclopean Foundations/Scenario/Going Twice,TRUE,Going Twice,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Lost Moorings,Campaign/Custom/Cyclopean Foundations/Scenario/Lost Moorings,TRUE,Lost Moorings,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Private Lives,Campaign/Custom/Cyclopean Foundations/Scenario/Private Lives,TRUE,Private Lives,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Pyroclastic Flow,Campaign/Custom/Cyclopean Foundations/Scenario/Pyroclastic Flow,TRUE,Pyroclastic Flow,,,,,,,,,,
Campaign,Custom,Cyclopean Foundations,Scenario,Tomb of Dead Dreams,Campaign/Custom/Cyclopean Foundations/Scenario/Tomb of Dead Dreams,TRUE,Tomb of Dead Dreams,,,,,,,,,,
Campaign,Custom,Dark Matter,Encounter,Anachronism,Campaign/Custom/Dark Matter/Encounter/Anachronism,TRUE,Anachronism,Anachronismus,,,Anacronismos,,,,,,
Campaign,Custom,Dark Matter,Encounter,Artificial Intelligence,Campaign/Custom/Dark Matter/Encounter/Artificial Intelligence,TRUE,Artificial Intelligence,Künstliche Intelligenz,,,Inteligencia Artificial,,,,,,
Campaign,Custom,Dark Matter,Encounter,Boogeyman,Campaign/Custom/Dark Matter/Encounter/Boogeyman,TRUE,Boogeyman,Der Butzemann,,,El Hombre del Saco,,,,,,
Campaign,Custom,Dark Matter,Encounter,Dark Past,Campaign/Custom/Dark Matter/Encounter/Dark Past,TRUE,Dark Past,Dunkle Vergangenheit,,,Pasado Oscuro,,,,,,
Campaign,Custom,Dark Matter,Encounter,Deep Space,Campaign/Custom/Dark Matter/Encounter/Deep Space,TRUE,Deep Space,Weltall,,,Espacio Profundo,,,,,,
Campaign,Custom,Dark Matter,Encounter,Endtimes,Campaign/Custom/Dark Matter/Encounter/Endtimes,TRUE,Endtimes,Endzeit,,,Fin de los Tiempos,,,,,,
Campaign,Custom,Dark Matter,Encounter,Hastur's Gaze,Campaign/Custom/Dark Matter/Encounter/Hastur's Gaze,TRUE,Hastur's Gaze,Hasturs Blick,,,Mirada de hastur,,,,,,
Campaign,Custom,Dark Matter,Encounter,Interstellar Predators,Campaign/Custom/Dark Matter/Encounter/Interstellar Predators,TRUE,Interstellar Predators,Interstellare Jäger,,,Depredadores Interestelares,,,,,,
Campaign,Custom,Dark Matter,Scenario,Electric Nightmare,Campaign/Custom/Dark Matter/Scenario/Electric Nightmare,TRUE,Electric Nightmare,Elektrischer Albtraum,,,Pesadilla Eléctrica,,,,,,
Campaign,Custom,Dark Matter,Scenario,Fragment of Carcosa,Campaign/Custom/Dark Matter/Scenario/Fragment of Carcosa,TRUE,Fragment of Carcosa,Bruchstück von Carcosa,,,Fragmento de Carcosa,,,,,,
Campaign,Custom,Dark Matter,Scenario,In the Shadow of Earth,Campaign/Custom/Dark Matter/Scenario/In the Shadow of Earth,TRUE,In the Shadow of Earth,Im Schatten der Erde,,,La Cara Oculta de la Tierra,,,,,,
Campaign,Custom,Dark Matter,Scenario,Lost Quantum,Campaign/Custom/Dark Matter/Scenario/Lost Quantum,TRUE,Lost Quantum,Verlorene Quanten,,,Perdición Cuántica,,,,,,
Campaign,Custom,Dark Matter,Scenario,Starfall,Campaign/Custom/Dark Matter/Scenario/Starfall,TRUE,Starfall,Sternenschauer,,,Estrella Caída,,,,,,
Campaign,Custom,Dark Matter,Scenario,Strange Moons,Campaign/Custom/Dark Matter/Scenario/Strange Moons,TRUE,Strange Moons,Fremdartige Monde,,,Lunas Extrañas,,,,,,
Campaign,Custom,Dark Matter,Scenario,The Machine in Yellow,Campaign/Custom/Dark Matter/Scenario/The Machine in Yellow,TRUE,The Machine in Yellow,Die Maschine in Gelb,,,La Máquina Amarilla,,,,,,
Campaign,Custom,Dark Matter,Scenario,The Tatterdemalion,Campaign/Custom/Dark Matter/Scenario/The Tatterdemalion,TRUE,The Tatterdemalion,Die Tatterdemalion,,,La Tatterdemalion,,,,,,
Campaign,Regular,Core Set,Encounter,Agents of Cthulhu,Campaign/Regular/Core Set/Encounter/Agents of Cthulhu,TRUE,Agents of Cthulhu,Anhänger von Cthulhu,Agenti di Cthulhu,Агенты Ктулху,Agentes de Cthulhu,Agents de Cthulhu,Agentes de Cthulhu,Agenci Cthulhu,Agenti Cthulhu,สมุนแห่งคธูลู,Cthulhu szolgálói
Campaign,Regular,Core Set,Encounter,Agents of Hastur,Campaign/Regular/Core Set/Encounter/Agents of Hastur,TRUE,Agents of Hastur,Anhänger von Hastur,Agenti di Hastur,Агенты Хастура,Agentes de Hastur,Agents d'Hastur,Agentes de Hastur,Agenci Hastura,Agenti Hastura,สมุนแห่งฮัสเทอร์,Hastur szolgálói
Campaign,Regular,Core Set,Encounter,Agents of Shub Niggurath,Campaign/Regular/Core Set/Encounter/Agents of Shub Niggurath,TRUE,Agents of Shub Niggurath,Anhänger von Shub-Niggurath,Agenti di Shub-Niggurath,Агенты Шуб-Ниггурат,Agentes de Shub Niggurath,Agents de Shub-Niggurath,Agentes de Shub Niggurath,Agenci Shub-Niggurath,Agenti Shub-Niggurath,สมุนแห่งชุบ-นิกกูรัธ,Shub Niggurath szolgálói
Campaign,Regular,Core Set,Encounter,Agents of Yog-Sothoth,Campaign/Regular/Core Set/Encounter/Agents of Yog-Sothoth,TRUE,Agents of Yog-Sothoth,Anhänger von Yog-Sothoth,Agenti di Yog-Sothoth,Агенты Йог-Сотота,Agentes de Yog-Sothoth,Agents de Yog-Sothoth,Agentes de Yog-Sothoth,Agenci Yog-Sothotha,Agenti Yog-Sothotha,สมุนแห่งยอก-โซธอท,Yog-Sothoth szolgálói
Campaign,Regular,Core Set,Encounter,Ancient Evils,Campaign/Regular/Core Set/Encounter/Ancient Evils,TRUE,Ancient Evils,Böses aus uralter Zeit,Mali Antichi,Древнее зло,Antiguos Males,Antiques Fléaux,Males Anciães,Pradawne zlo,Prastaré zlo,ความชั่วร้ายจากบรรพกาล,Ősi gonoszok
Campaign,Regular,Core Set,Encounter,Chilling Cold,Campaign/Regular/Core Set/Encounter/Chilling Cold,TRUE,Chilling Cold,Grabeskälte,Freddo Raggelante,Пронизывающий холод,Frío Helador,Un Froid Mordant,Frio Aterrador,Przejmujacy chlod,Mrazivý chlad,ความเย็นยะเยือก,Dermesztő hideg
Campaign,Regular,Core Set,Encounter,Cult of Umôrdhoth,Campaign/Regular/Core Set/Encounter/Cult of Umôrdhoth,TRUE,Cult of Umôrdhoth,Kult von Umôrdhoth,Culto di Umôrdhoth,Культ Умордхота,Secta de Umôrdhoth,Culte d'Umôrdhoth,Culto de Umôrdhoth,Kult Umôrdhotha,Umórdhothuv kult,ลัทธิแห่งอูมอร์ดอร์ท,Umôrdhoth kultusza
Campaign,Regular,Core Set,Encounter,Dark Cult,Campaign/Regular/Core Set/Encounter/Dark Cult,TRUE,Dark Cult,Dunkler Kult,Culto Oscuro,Тёмный культ,Secta Oscura,Sombre Culte,Culto Sombrio,Mroczny kult,Temný kult,ลัทธิมืด,Sötét kultusz
Campaign,Regular,Core Set,Encounter,Ghouls,Campaign/Regular/Core Set/Encounter/Ghouls,TRUE,Ghouls,Ghule,Ghoul,Упыри,Gules,Goules,Carniçais,Ghoule,Ghúlové,กูล,Ghoulok
Campaign,Regular,Core Set,Encounter,Locked Doors,Campaign/Regular/Core Set/Encounter/Locked Doors,TRUE,Locked Doors,Verschlossene Türen,Porte Chiuse,Запертые двери,Puertas Cerradas,Portes Closes,Portas Trancadas,Zamkniete drzwi,Zamčené dveře,ประตูที่ถูกล็อก,Zárt ajtók
Campaign,Regular,Core Set,Encounter,Nightgaunts,Campaign/Regular/Core Set/Encounter/Nightgaunts,TRUE,Nightgaunts,Dunkeldürre,Magri Notturni,Ночные призраки,Ángeles Descarnados,Maigres Bêtes de la Nuit,Noctétricos,Dzieci nocy,Noční zebouni,ไนท์กอนท์,Éji huhogányok
Campaign,Regular,Core Set,Encounter,Rats,Campaign/Regular/Core Set/Encounter/Rats,TRUE,Rats,Rattenschwarm,Ratti,Крысы,Ratas,Rats,Ratos,Szczury,Krysy,หนู,Patkányok
Campaign,Regular,Core Set,Encounter,Striking Fear,Campaign/Regular/Core Set/Encounter/Striking Fear,TRUE,Striking Fear,Lähmende Angst,Paura Incombente,Охваченные страхом,Miedo Impactante,Répandre la Peur,Medo Avassalador,Paniczny strach,Sílící strach,ความกลัวที่ถาโถม,Lesújtó félelem
Campaign,Regular,Edge of the Earth,Encounter,Agents of the Unknown,Campaign/Regular/Edge of the Earth/Encounter/Agents of the Unknown,TRUE,Agents of the Unknown,Anhänger des Unbekannten,,Агенты неизведанного,Agentes de lo Desconocido,Agents de l'Inconnu,Agentes do Desconhecido,Agenci Nieznanego,,,
Campaign,Regular,Edge of the Earth,Encounter,Creatures in the Ice,Campaign/Regular/Edge of the Earth/Encounter/Creatures in the Ice,TRUE,Creatures in the Ice,Kreaturen im Eis,,Твари во льду,Criaturas en el Hielo,Créatures dans la Glace,Criaturas no Gelo,Stworzenia w lodzie,,,
Campaign,Regular,Edge of the Earth,Encounter,Deadly Weather,Campaign/Regular/Edge of the Earth/Encounter/Deadly Weather,TRUE,Deadly Weather,Tödliches Wetter,,Убийственная погода,Tiempo Letal,Climat Mortel,Clima Mortal,Mordercza pogoda,,,
Campaign,Regular,Edge of the Earth,Encounter,Elder Things,Campaign/Regular/Edge of the Earth/Encounter/Elder Things,TRUE,Elder Things,Alte Wesen,,Старцы,Antiguos,Choses Très Anciennes,Seres Ancestrais,Starsze Istoty,,,
Campaign,Regular,Edge of the Earth,Encounter,Expedition Team,Campaign/Regular/Edge of the Earth/Encounter/Expedition Team,TRUE,Expedition Team,Expeditionsteam,,Члены экспедиции,Equipo de Expedición,Membres de l'Expédition,Equipe de Expedição,Czlonkowie ekspedycji,,,
Campaign,Regular,Edge of the Earth,Encounter,Hazards of Antarctica,Campaign/Regular/Edge of the Earth/Encounter/Hazards of Antarctica,TRUE,Hazards of Antarctica,Gefahren der Antarktis,,Антарктические опасности,Peligros de la Antártida,Les Dangers de l'Antarctique,Perigos Antárticos,Niebezpieczenstwa Antarktydy,,,
Campaign,Regular,Edge of the Earth,Encounter,Left Behind,Campaign/Regular/Edge of the Earth/Encounter/Left Behind,TRUE,Left Behind,Zurückgelassen,,Оставленные,Abandonados,Laissés en Arrière,Deixados para Trás,Zdani na siebie,,,
Campaign,Regular,Edge of the Earth,Encounter,Lost in the Night,Campaign/Regular/Edge of the Earth/Encounter/Lost in the Night,TRUE,Lost in the Night,In der Nacht verschollen,,Пропавшие в ночи,Perdidos en la Noche,Perdus dans la Nuit,Perdidos na Noite,Zagubieni posrod nocy,,,
Campaign,Regular,Edge of the Earth,Encounter,Memorials of the Lost,Campaign/Regular/Edge of the Earth/Encounter/Memorials of the Lost,TRUE,Memorials of the Lost,Der Verlorenen Gedenken,,Память об ушедших,Memoriales de los Desaparecidos,Souvenirs des Disparus,Em Memória dos Perecidos,Wspomnienia o utraconych,,,
Campaign,Regular,Edge of the Earth,Encounter,Miasma,Campaign/Regular/Edge of the Earth/Encounter/Miasma,TRUE,Miasma,Miasma,,Скверна,Miasma,Miasme,Miasma,Mizmat,,,
Campaign,Regular,Edge of the Earth,Encounter,Nameless Horrors,Campaign/Regular/Edge of the Earth/Encounter/Nameless Horrors,TRUE,Nameless Horrors,Namenlose Schrecken,,Безымянные ужасы,Horrores sin Nombre,Horreurs Sans Nom,Horrores Inomináveis,Nienazwane koszmary,,,
Campaign,Regular,Edge of the Earth,Encounter,Penguins,Campaign/Regular/Edge of the Earth/Encounter/Penguins,TRUE,Penguins,Pinguine,,Пингвины,Pingüinos,Les Manchots,Pinguins,Pingwiny,,,
Campaign,Regular,Edge of the Earth,Encounter,Seeping Nightmares,Campaign/Regular/Edge of the Earth/Encounter/Seeping Nightmares,TRUE,Seeping Nightmares,Durchsickernde Albträume,,Сочащиеся кошмары,Pesadillas Rezumantes,Cauchemars Suintants,Pesadelos Infiltrantes,Saczace sie koszmary,,,
Campaign,Regular,Edge of the Earth,Encounter,Shoggoths,Campaign/Regular/Edge of the Earth/Encounter/Shoggoths,TRUE,Shoggoths,Shoggothen,,Шогготы,Shoggoths,Les Shoggoths,Shoggoths,Shoggothy,,,
Campaign,Regular,Edge of the Earth,Encounter,Silence and Mystery,Campaign/Regular/Edge of the Earth/Encounter/Silence and Mystery,TRUE,Silence and Mystery,Stille und Mysterium,,Безмолвие и тайны,Silencio y Misterio,Silence et Mystère,Silêncio e Mistério,Cisza i tajemnica,,,
Campaign,Regular,Edge of the Earth,Encounter,Stirring in the Deep,Campaign/Regular/Edge of the Earth/Encounter/Stirring in the Deep,TRUE,Stirring in the Deep,Etwas regt sich in der Tiefe,,Смятение в глубинах,Agitándose en las Profundidades,Agitation dans les Profondeurs,Agitação nas Profundezas,Ruchy w glebi,,,
Campaign,Regular,Edge of the Earth,Encounter,Tekeli-li,Campaign/Regular/Edge of the Earth/Encounter/Tekeli-li,TRUE,Tekeli-li,Tekeli-li,,Текели-ли,Tekeli-li,Tekeli-li,Tekeli-li,Tekali-li,,,
Campaign,Regular,Edge of the Earth,Encounter,The Crash,Campaign/Regular/Edge of the Earth/Encounter/The Crash,TRUE,The Crash,Der Absturz,,Крушение,El Accidente,L'Accident,A Queda,Katastrofa,,,
Campaign,Regular,Edge of the Earth,Encounter,The Great Seal,Campaign/Regular/Edge of the Earth/Encounter/The Great Seal,TRUE,The Great Seal,Das große Siegel,,Великая печать,El Gran Sello,Le Grand Sceau,O Grande Selo,Wielka pieczec,,,
Campaign,Regular,Edge of the Earth,Scenario,City of the Elder Things,Campaign/Regular/Edge of the Earth/Scenario/City of the Elder Things,TRUE,City of the Elder Things,Stadt der alten Wesen,,Город Старцев,Ciudad de los Antiguos,La Cité des Anciens,Cidade dos Seres Ancestrais,Miasto Starszych Istot,,,
Campaign,Regular,Edge of the Earth,Scenario,Fatal Mirage,Campaign/Regular/Edge of the Earth/Scenario/Fatal Mirage,TRUE,Fatal Mirage,Tödliches Trugbild,,Роковой мираж,Espejismo Letal,Mirage Fatal,Miragem Fatal,Zdradzieckie miraze,,,
Campaign,Regular,Edge of the Earth,Scenario,Ice and Death,Campaign/Regular/Edge of the Earth/Scenario/Ice and Death,TRUE,Ice and Death,Eis und Tod,,Лед и смерть,Hielo y Muerte,De Glace et de Mort,Gelo e Morte,Lod i smierc,,,
Campaign,Regular,Edge of the Earth,Scenario,Ice and Death; Part I,Campaign/Regular/Edge of the Earth/Scenario/Ice and Death; Part I,,Ice and Death; Part I,,,,,,,,,,
Campaign,Regular,Edge of the Earth,Scenario,Ice and Death; Part II,Campaign/Regular/Edge of the Earth/Scenario/Ice and Death; Part II,,Ice and Death; Part II,,,,,,,,,,
Campaign,Regular,Edge of the Earth,Scenario,Ice and Death; Part III,Campaign/Regular/Edge of the Earth/Scenario/Ice and Death; Part III,,Ice and Death; Part III,,,,,,,,,,
Campaign,Regular,Edge of the Earth,Scenario,The Heart of Madness,Campaign/Regular/Edge of the Earth/Scenario/The Heart of Madness,TRUE,The Heart of Madness,Das Herz des Wahnsinns,,Сердце безумия,El Corazón de la Locura,Le Coeur de la Folie,O Coração da Loucura,Serce szalenstwa,,,
Campaign,Regular,Edge of the Earth,Scenario,The Heart of Madness; Part I,Campaign/Regular/Edge of the Earth/Scenario/The Heart of Madness; Part I,,The Heart of Madness; Part I,,,,,,,,,,
Campaign,Regular,Edge of the Earth,Scenario,The Heart of Madness; Part II,Campaign/Regular/Edge of the Earth/Scenario/The Heart of Madness; Part II,,The Heart of Madness; Part II,,,,,,,,,,
Campaign,Regular,Edge of the Earth,Scenario,To the Forbidden Peaks,Campaign/Regular/Edge of the Earth/Scenario/To the Forbidden Peaks,TRUE,To the Forbidden Peaks,Zu den Verbotenen Gipfeln,,К запретным вершинам,Hacia los Picos Prohibidos,Vers les Sommets Interdits,Para os Picos Proibidos,Na zakazane szczyty,,,
Campaign,Regular,Night of the Zealot,Scenario,The Devourer Below,Campaign/Regular/Night of the Zealot/Scenario/The Devourer Below,TRUE,The Devourer Below,Der Verschlinger aus der Tiefe,Il Divoratore Sotterraneo,Пожиратель из глубин,El Devorador de las Profundidades,Le Dévoreur du Dessous,O Devorador das Profundezas,Pozeracz z otchlani,Ničitel v zemi,ผู้กลืนกินจากเบื้องล่าง,A pusztító a mélyben
Campaign,Regular,Night of the Zealot,Scenario,The Gathering,Campaign/Regular/Night of the Zealot/Scenario/The Gathering,TRUE,The Gathering,Die Zusammenkunft,L'Adunanza,Встреча,El Encuentro,Le Rassemblement,A Assembleia,Zgromadzenie,Shromáždění,การรวมตัว,Az összejövetel
Campaign,Regular,Night of the Zealot,Scenario,The Midnight Masks,Campaign/Regular/Night of the Zealot/Scenario/The Midnight Masks,TRUE,The Midnight Masks,Die Mitternachtsmasken,Le Maschere di Mezzanotte,Полуночные маски,Las Máscaras de Medianoche,Les Masques de Minuit,As Máscaras da Meia-Noite,Maski polnocy,Půlnoční masky,หน้ากากแห่งรัตติกาล,Az éjféli álarcok
Campaign,Regular,The Circle Undone,Encounter,Agents of Azathoth,Campaign/Regular/The Circle Undone/Encounter/Agents of Azathoth,TRUE,Agents of Azathoth,Anhänger von Azathoth,Agenti di Azathoth,Агенты Азатота,Agentes de Azazoth,Agents d'Azathoth,,,,,
Campaign,Regular,The Circle Undone,Encounter,Anette's Coven,Campaign/Regular/The Circle Undone/Encounter/Anette's Coven,TRUE,Anette's Coven,Anettes Hexenzirkel,Congrega di Anette,Ковен Анетты,Aquelarre de Anette,La Congrégation d'Annette,,,,,
Campaign,Regular,The Circle Undone,Encounter,City of Sins,Campaign/Regular/The Circle Undone/Encounter/City of Sins,TRUE,City of Sins,Stadt der Sünden,Città dei Peccati,Город грехов,Ciudad de Pecados,Cité des Péchés,,,,,
Campaign,Regular,The Circle Undone,Encounter,Inexorable Fate,Campaign/Regular/The Circle Undone/Encounter/Inexorable Fate,TRUE,Inexorable Fate,Unerbittliches Schicksal,Fato Inesorabile,Неотвратимый рок,Destino Inexorable,Destin Inéluctable,,,,,
Campaign,Regular,The Circle Undone,Encounter,Music of the Damned,Campaign/Regular/The Circle Undone/Encounter/Music of the Damned,TRUE,Music of the Damned,Klänge der Verdammten,,Музыка проклятых,Música de los Condenados,Musique des Damnés,,,,,
Campaign,Regular,The Circle Undone,Encounter,Realm of Death,Campaign/Regular/The Circle Undone/Encounter/Realm of Death,TRUE,Realm of Death,Reich des Todes,Reame della Morte,Царство смерти,El Reino de la Muerte,Royaume des Morts,,,,,
Campaign,Regular,The Circle Undone,Encounter,Secrets of the Universe,Campaign/Regular/The Circle Undone/Encounter/Secrets of the Universe,TRUE,Secrets of the Universe,Geheimnisse des Universums,,Тайны Вселенной,Secretos del Universo,Les Secrets de l'Univers,,,,,
Campaign,Regular,The Circle Undone,Encounter,Silver Twilight Lodge,Campaign/Regular/The Circle Undone/Encounter/Silver Twilight Lodge,TRUE,Silver Twilight Lodge,Silberloge der Dämmerung,Loggia del Crepuscolo d'Argento,Ложа Серебряных Сумерек,Logia del Crepúsculo de Plata,Loge du Crépuscule d'Argent,,,,,
Campaign,Regular,The Circle Undone,Encounter,Spectral Predators,Campaign/Regular/The Circle Undone/Encounter/Spectral Predators,TRUE,Spectral Predators,Geisterhafte Räuber,Predatori Spettrali,Призрачные хищники,Depredadores Espectrales,Prédateurs Spectraux,,,,,
Campaign,Regular,The Circle Undone,Encounter,The Watcher,Campaign/Regular/The Circle Undone/Encounter/The Watcher,TRUE,The Watcher,Der Beobachter,Osservatore,Страж,El Vigilante,Le Guetteur,,,,,
Campaign,Regular,The Circle Undone,Encounter,Trapped Spirits,Campaign/Regular/The Circle Undone/Encounter/Trapped Spirits,TRUE,Trapped Spirits,Gefangene Geister,Spiriti Intrappolati,Заточённые духи,Espíritus Atrapados,Esprits Piégés,,,,,
Campaign,Regular,The Circle Undone,Encounter,Witchcraft,Campaign/Regular/The Circle Undone/Encounter/Witchcraft,TRUE,Witchcraft,Hexenkunst,Malia,Ведьмовство,Brujería,Pratiques Occultes,,,,,
Campaign,Regular,The Circle Undone,Scenario,At Death's Doorstep,Campaign/Regular/The Circle Undone/Scenario/At Death's Doorstep,TRUE,At Death's Doorstep,Auf der Schwelle des Todes,Sulla Soglia della Morte,На пороге смерти,A las Puertas de la Muerte,Aux Portes de la Mort,,,,,
Campaign,Regular,The Circle Undone,Scenario,Before the Black Throne,Campaign/Regular/The Circle Undone/Scenario/Before the Black Throne,TRUE,Before the Black Throne,Vor dem Schwarzen Thron,Al Cospetto del Trono Nero,Перед Чёрным престолом,Ante el Trono Negro,Devant le Trône Noir,,,,,
Campaign,Regular,The Circle Undone,Scenario,Disappearance at the Twilight Estate,Campaign/Regular/The Circle Undone/Scenario/Disappearance at the Twilight Estate,TRUE,Disappearance at the Twilight Estate,Die Vermissten vom Anwesen der Dämmerung,Sparizione alla Villa del Crepuscolo,Исчезновение в поместье Сумерек,Desaparición en la Finca del Crepúsculo,Disparitions dans la Demeure du Crépuscule,,,,,
Campaign,Regular,The Circle Undone,Scenario,For the Greater Good,Campaign/Regular/The Circle Undone/Scenario/For the Greater Good,TRUE,For the Greater Good,Für das große Ganze,Per il Bene Superiore,Ради высшего блага,Por el Bien Común,Pour le Bien Commun,,,,,
